Time,Anomaly (deg C),Lower confidence limit (2.5%),Upper confidence limit (97.5%)
1850-01,-0.67456436,-0.98177195,-0.3673568
1850-02,-0.333416,-0.700901,0.034069024
1850-03,-0.59132266,-0.9339191,-0.2487262
1850-04,-0.58872116,-0.8982594,-0.27918297
1850-05,-0.5081851,-0.7612137,-0.2551565
1850-06,-0.34424013,-0.60947233,-0.079007894
1850-07,-0.15979019,-0.39714956,0.07756917
1850-08,-0.2076543,-0.4648224,0.04951382
1850-09,-0.3847069,-0.6477238,-0.121690065
1850-10,-0.53312653,-0.78265744,-0.28359562
1850-11,-0.2825075,-0.54502493,-0.01999013
1850-12,-0.40367043,-0.6826584,-0.12468251
1851-01,-0.20073938,-0.51260436,0.11112556
1851-02,-0.46933234,-0.8057982,-0.13286653
1851-03,-0.6460531,-0.95056796,-0.34153816
1851-04,-0.5421326,-0.8318831,-0.25238213
1851-05,-0.19762275,-0.47129744,0.07605195
1851-06,-0.13670355,-0.41463488,0.1412278
1851-07,-0.0968156,-0.3358151,0.1421839
1851-08,-0.10175375,-0.36319193,0.15968445
1851-09,-0.091244884,-0.36001372,0.17752396
1851-10,-0.00836263,-0.26999545,0.2532702
1851-11,-0.08189084,-0.38667485,0.22289316
1851-12,-0.22754622,-0.551656,0.09656359
1852-01,-0.37509567,-0.6837687,-0.06642263
1852-02,-0.47672674,-0.82690173,-0.12655175
1852-03,-0.5597683,-0.8769547,-0.24258201
1852-04,-0.5853704,-0.8682941,-0.30244678
1852-05,-0.12741269,-0.39380231,0.13897693
1852-06,-0.083659135,-0.33952817,0.17220989
1852-07,0.005029385,-0.22846359,0.23852237
1852-08,-0.13558698,-0.39293692,0.121762976
1852-09,-0.00190167,-0.26057866,0.25677535
1852-10,-0.172434,-0.41274902,0.06788101
1852-11,-0.3052479,-0.58084655,-0.029649276
1852-12,0.065385304,-0.21881793,0.34958854
1853-01,-0.23259853,-0.51683515,0.0516381
1853-02,-0.40372267,-0.70065147,-0.10679385
1853-03,-0.28042167,-0.5714255,0.010582115
1853-04,-0.38631994,-0.65944624,-0.11319364
1853-05,-0.2678886,-0.5075292,-0.02824804
1853-06,-0.1423762,-0.3862959,0.101543516
1853-07,-0.08344058,-0.297061,0.13017985
